ONET KSA	Count
oracle warehouse builder	19
air conditioning units	708
radio communications systems	8
platemaking equipment	1
c	120273
microplate readers	2
vacuum trucks	18
incubators	16
pentaho kettle	2
nasal cannulas	1
night vision	45
box wrenches	2
ibm informix	33
transfer pumps	9
appraisal software	14
blood tubes	1
digital multimeters	36
c shell	131
readsoft software	2
portable ladders	7
light meters	1
scientific calculators	2
wet scrubbers	3
magnetic resonance imaging mri equipment	1
laparoscopes	35
vans	1298
route	95715
digital volt meters	6
air scrubbers	2
ibm i	4
apple final cut pro	10
etap software	7
dbsnp	2
sine bars	3
cable cutters	6
parachutes	10
cufflinks	1
learning management system lms software	3
meat slicers	3
portable cranes	3
flow control devices	1
abrasive stones	4
air hammers	6
all terrain vehicles atv	1
bugzilla	314
internal audit software	9
magma	20
electrophoresis equipment	1
control precision	39
temperature controllers	11
hand snips	2
graphing software	3
text to speech software	1
reflectometers	19
sendgrid	1
tablet computers	5
android	7700
windows media player	79
patient simulators	31
fluid pumps	2
spectrum analyzers	361
microsoft sql server reporting services	38
optical gauges	1
cabin management systems	1
lift trucks	217
loader backhoes	1
microsoft access	4592
chippers	12
disc grinders	1
hardness testers	51
snow plows	16
hand stamps	2
oracle sql loader	3
manlifts	16
reflow ovens	54
load testing software	2
flowcharting software	41
crm software junxure	1
cadence concept	18
skill	98103
veritas netbackup	33
bicycles	21
razor blade knives	1
informatica powercenter	41
rigging equipment	27
emergency lights	6
flow cytometers	3
microsoft excel	99087
open shortest path first ospf	1
motor graders	5
levelers	28
amp meters	20
presentation software	884
squeegees	3
disk storage systems	3
anechoic chambers	1
gas welding equipment	2
xquery	84
oil distributors	2
google webmaster tools	33
air dispersion modeling software	3
cargo trailers	6
data warehouse appliances	1
twitter	32064
force transducers	2
membership databases	1
paint mixers	1
microsoft great plains software	3
storage compartments	2
compression tools	2
concrete mixers	1
bullhorn applicant tracking system	1
forks	87
blasthole drills	1
cable locators	3
perforce software configuration management system	2
autotask	45
skid steers	106
copy machines	119
slide projectors	1
oracle self service human resources	1
grinders	1438
ice packs	2
joomla	695
sledgehammers	380
google calendar	42
protractors	31
seeders	266
work vans	1
output meters	1
dictating equipment	9
ohm meters	12
database management system dbms software	1
robotic control software	3
display screens	4
optical filters	1
global positioning systems gps	9
floor buffers	15
pattern generators	1
ibm rational data architect	1
cable testers	59
attask	21
image management software	4
medical imaging software	1
gold testers	2
diggers	15
honing machines	1
deltek vision	235
pronto xi	2
humidity sensors	3
multimeters	157
firewall equipment	2
google doubleclick	9
splints	3
work trucks	5
fume hoods	10
stepladders	16
beading machines	1
soldering tweezers	3
mini excavators	39
delcam featurecam	3
night vision goggles	1
oil filters	75
jitterbit	3
equipment trailers	17
snips	105
jig bores	8
razor knives	40
file servers	36
ladder logic	661
torque transducers	14
network security software	7
traction equipment	1
decibel meters	25
budgeting software	33
central venous catheters	1
portable generators	2
softice	32
conductivity sensors	8
account management software	36
hand wheels	1
analytical software	180
arbitrary waveform generators	102
ONET KSA	Count
environmental chambers	16
assembler	1377
surface finish comparators	2
mailing machines	7
multi function printers	12
emboss	1
human resources software	4
blood glucose monitors	1
sage abra	23
testing software	250
cappers	40
inspection microscopes	10
drafting software	122
extent flexibility	7
game calls	3
straight snips	22
scouring pads	2
squares	105
contact management software	475
drill presses	248
diffusion pumps	3
dock boards	3
automatic slicers	1
pipe taps	1
google gmail	17
parts database software	1
anvils	4
washing machines	9
microsoft dynamics nav	109
laboratory information management system lims software	1
pointing devices	3
axes	410
accumulator systems	11
water pumps	109
graphics creation software	2
shell script	78
digital readouts	4
canes	64
rakes	28
filemon	29
materials management software	7
foot rollers	1
weed cutters	1
cost tracking software	9
esri arcims	1
oracle dbms	60
manifold gauges	1
external hard drives	9
arm hand steadiness	27
label printers	26
graders	40
selective attention	149
oracle data integrator	102
ostomy equipment	1
microsoft windows xp professional	9
transcription equipment	3
x ray spectrometers	1
turning machines	44
esri software	7
steam sterilizers	10
espresso machines	6
client databases	11
forklifts	1876
optical power meters	19
belt scales	10
motion control software	5
on board computers	46
deltek software	52
plant maintenance software	1
ansoft software	2
oracle business intelligence suite	4
power presses	1
vector signal generators	103
bandsaws	4
material dollies	2
refrigeration units	638
turbine generators	8
strobe lights	55
lottery machines	159
user interface design software	12
haskell	52
mobile radios	4
helium leak detectors	1
mail bags	2
oracle enterprise manager	50
steam tables	64
welders	1526
interactive whiteboards	12
video monitoring systems	1
doe 2	13
vertical turning centers	1
tape machines	7
power brake systems	4
flow recorders	5
scrum software	77
water removal pumps	1
motorized carts	3
ptc creo parametric	3
wrapping machines	6
questionmark perception	1
freeze dryers	1
nut drivers	24
pottery kilns	2
light curtains	8
straps	296
spring framework	222
vacuum furnaces	1
deployment software	28
telehandlers	7
body armor	3
gas detectors	36
video recorders	17
microsoft activesync	5
threshers	1
moisture meters	10
peoplenet	24
bailers	1
chemical fume hoods	1
blenders	50
meditech hcis	4
banding machines	1
power drills	2
tape recorders	3
oracle hris	5
quality control software	2
laboratory coats	1
computer servers	14
financial calculators	52
microsoft frontpage	12
ceridian software	27
telemetry units	2
balance scales	5
structure query language sql	6
label printing software	1
humidification equipment	2
robotic simulation software	1
